movie_name,year,link,imdb_id,imdb_name,imdb_year
Easy Rider,1969,dvd/Easy-Rider/,tt0064276,Easy Rider (1969),1969
The Edge of Love,2008,dvd/The-Edge-of-Love/,tt0819714,The Edge of Love (2008),2008
El Norte,1983,blu-ray/El-Norte/,tt0085482,El Norte (1983),1983
Emma.,2020,blu-ray/Emma/,tt9214832,Emma. (2020),2020
Enter the Void,2009,blu-ray/Enter-the-Void/,tt1191111,Enter the Void (2009),2009
Eternal Sunshine of the Spotless Mind,2004,blu-ray/Eternal-Sunshine-of-the-Spotless-Mind/,tt0338013,Eternal Sunshine of the Spotless Mind (2004),2004
Ex Machina,2014,blu-ray/Ex-Machina/,tt0470752,Ex Machina (2014),2014
Eyes of Laura Mars,1978,dvd/Eyes-of-Laura-Mars/,tt0077530,Les Yeux de Laura Mars (1978),1978
Eyes Wide Shut,1999,blu-ray/Eyes-Wide-Shut/,tt0120663,Eyes Wide Shut (1999),1999
The Fall,2006,blu-ray/The-Fall/,tt0460791,The Fall (2006),2006
Fallen Angels,1995,blu-ray/Fallen-Angels/,tt0112913,Les anges déchus (1995),1995
Fantastic Planet,1973,blu-ray/Fantastic-Planet/,tt0070544,La Planète sauvage (1973),1973
Farewell My Concubine,1993,blu-ray/Farewell-My-Concubine/,tt0106332,"Adieu, ma concubine (1993)",1993
The Favourite,2018,blu-ray/The-Favourite/,tt5083738,La favorite (2018),2018
Fear and Loathing in Las Vegas,1998,blu-ray/Fear-and-Loathing-in-Las-Vegas/,tt0120669,Las Vegas parano (1998),1998
Flawless,1999,dvd/Flawless/,tt0155711,Personne n'est parfait(e) (1999),1999
The Flowers of War,2011,blu-ray/The-Flowers-of-War/,tt1410063,Sacrifices of War (2011),2011
For Your Eyes Only,1981,dvd/For-Your-Eyes-Only/,tt0082398,Rien que pour vos yeux (1981),1981
Forbidden Planet,1956,blu-ray/Forbidden-Planet/,tt0049223,Planète interdite (1956),1956
Forrest Gump,1994,dvd/Forrest-Gump/,tt0109830,Forrest Gump (1994),1994
The Fountain,2006,blu-ray/The-Fountain/,tt0414993,The Fountain (2006),2006
Frida,2002,blu-ray/Frida/,tt0120679,Frida (2002),2002
From Russia with Love,1963,dvd/From-Russia-With-Love/,tt0057076,Bons baisers de Russie (1963),1963
Gangs of New York,2002,dvd/Gangs-of-New-York/,tt0217505,Gangs of New York (2002),2002
The Garden of Words,2013,blu-ray/The-Garden-of-Words/,tt2591814,The Garden of Words (2013),2013
Gate of Hell,1953,blu-ray/Gate-of-Hell/,tt0045935,La porte de l'enfer (1953),1953
Gemini,1999,blu-ray/Gemini/,tt0210302,Gemini (1999),1999
The Girl on a Motorcycle,1968,blu-ray/The-Girl-on-a-Motorcycle/,tt0063013,La Motocyclette (1968),1968
The Girl with the Dragon Tattoo,2011,hd/The-Girl-with-the-Dragon-Tattoo/,tt1568346,Millénium: Les hommes qui n'aimaient pas les femmes (2011),2011
The Godfather,1972,dvd/The-Godfather/,tt0068646,Le Parrain (1972),1972
GoldenEye,1995,blu-ray/Goldeneye/,tt0113189,GoldenEye (1995),1995
Goldfinger,1964,blu-ray/Goldfinger/,tt0058150,Goldfinger (1964),1964
The Good Shepherd,2006,dvd/The-Good-Shepherd/,tt0343737,Raisons d'état (2006),2006
The Grand Budapest Hotel,2014,blu-ray/The-Grand-Budapest-Hotel/,tt2278388,The Grand Budapest hotel (2014),2014
The Grandmaster,2013,blu-ray/The-Grandmaster/,tt1462900,The Grandmaster (2013),2013
Gravity,2013,blu-ray/Gravity/,tt1454468,Gravity (2013),2013
Green Book,2018,blu-ray/Green-Book/,tt6966692,Green Book: Sur les routes du Sud (2018),2018
The Handmaiden,2016,blu-ray/The-Handmaiden/,tt4016934,Mademoiselle (2016),2016
Hannibal,2001,dvd/Hannibal/,tt0212985,Hannibal (2001),2001
Happy Together,1997,blu-ray/Happy-Together/,tt0118845,Happy Together (1997),1997
Harakiri,1962,blu-ray/Harakiri/,tt0056058,Harakiri (1962),1962
Head,1968,blu-ray/Head/,tt0063049,Head (1968),1968
Helter Skelter,2012,blu-ray/Helter-Skelter/,tt2147319,Herutâ sukerutâ (2012),2012
Her,2013,blu-ray/Her/,tt1798709,Her (2013),2013
Hero,2002,blu-ray/Hero/,tt0253556,Le règne du feu (2002),2002
Herostratus,1967,blu-ray/Herostratus/,tt0061761,Herostratus (1967),1967
The Hours,2002,dvd/The-Hours/,tt0265459,Photo obsession (2002),2002
House of Flying Daggers,2004,blu-ray/House-of-Flying-Daggers/,tt0385004,Le secret des poignards volants (2004),2004
I Am Dragon,2015,blu-ray/I-Am-Dragon/,tt4057376,Dragon Inside Me (2015),2015
"I, Tonya",2017,hd/I-Tonya/,tt5580036,"Moi, Tonya (2017)",2017
"I'm a Cyborg, but That's OK",2006,blu-ray/Im-a-Cyborg-But-Thats-OK/,tt0497137,Je suis un cyborg (2006),2006
The Imaginarium of Doctor Parnassus,2009,blu-ray/The-Imaginarium-of-Doctor-Parnassus/,tt1054606,L'imaginarium du docteur Parnassus (2009),2009
Immortals,2011,blu-ray/Immortals/,tt1253864,Immortals (2011),2011
In the Mood for Love,2000,blu-ray/In-the-Mood-For-Love/,tt0118694,In the Mood for Love (2000),2000
Indecent Proposal,1993,blu-ray/Indecent-Proposal/,tt0107211,Proposition indécente (1993),1993
Inferno,1980,blu-ray/Inferno/,tt0080736,"Nimitz, retour vers l'enfer (1980)",1980
Interstellar,2014,blu-ray/Interstellar/,tt0816692,Interstellar (2014),2014
Ivan's Childhood,1962,blu-ray/Ivans-Childhood/,tt0056111,L'enfance d'Ivan (1962),1962
Jai Bhim,2021,blu-ray/Jai-Bhim/,tt15097216,Jai Bhim (2021),2021
Jojo Rabbit,2019,blu-ray/Jojo-Rabbit/,tt2584384,Jojo Rabbit (2019),2019
Joker,2019,blu-ray/Joker/,tt7286456,Joker (I) (2019),2019
Kagemusha,1980,blu-ray/Kagemusha/,tt0080979,Kagemusha : L'Ombre du guerrier (1980),1980
Kamikaze Girls,2004,blu-ray/Kamikaze-Girls/,tt0416220,Kamikaze Girls (2004),2004
Kwaidan,1964,blu-ray/Kwaidan/,tt0058279,Kwaidan (1964),1964
L.A. Confidential,1997,dvd/LA-Confidential/,tt0119488,L.A. Confidential (1997),1997
La La Land,2016,blu-ray/La-La-Land/,tt3783958,La La Land (2016),2016
Last Night in Soho,2021,blu-ray/Last-Night-in-Soho/,tt9639470,Last Night in Soho (2021),2021
The Lawnmower Man,1992,blu-ray/The-Lawnmower-Man/,tt0104692,Le Cobaye (1992),1992
Led Zeppelin: The Song Remains the Same,1976,dvd/Led-Zeppelin-The-Song-Remains-the-Same/,tt0075244,The Song Remains the Same (1976),1976
Licence to Kill,1989,blu-ray/Licence-to-Kill/,tt0097742,Permis de tuer (1989),1989
Life of Pi,2012,blu-ray/Life-of-Pi/,tt0454876,L'odyssée de Pi (2012),2012
The Lighthouse,2019,blu-ray/The-Lighthouse/,tt7984734,The Lighthouse (I) (2019),2019
Liquid Sky,1982,blu-ray/Liquid-Sky/,tt0085852,Liquid Sky (1982),1982
