track_id;artists;name;popularity;release_date;release_date_precision;speechiness;instrumentalness
1sTWIzAlg8HapeWz2fXvfJ;Francis Cabrel;Je t'aimais, je t'aime, je t'aimerai - Remastered;59;1994;year;0.0334;4.19e-05
4lI8A7xmuQqGDj28dzelH4;Alain Souchon;Ballade de Jim;47;1985-10-01;day;0.0295;0.000543
2Desf0YgquK9YrSkRhkvDN;Christophe;Les mots bleus;56;2013-03-18;day;0.037;1.42e-06
07VyIZXNfVS13AbebQDQWy;Calogero;En Apesanteur - Single Version;56;2002;year;0.0399;0.0
1jL4dBrmBpkAwxiMFzHulz;Laurent Voulzy;Rockollection;54;1989-05-11;day;0.0984;0.0
0FpwKxnLl9JXoO1djVonzB;Daniel Balavoine;Je ne suis pas un héros;5;1980;year;0.0335;0.0178
1Ek1OEhcEw9gRr5fxVizhk;Patrick Bruel;J'te l'dis quand même;55;1989-10-16;day;0.047;0.0177
6phMPtxOkjdXR8ax9xoCJ9;Johnny Hallyday;Le pénitencier;55;1964-10-25;day;0.0323;0.0
2QSAj76Ba6aMFX9RlXdUdO;Indochine;J'ai demandé à la lune;60;2002-02-28;day;0.0237;0.224
0Wr98MVkENZXddiLB3bPb0;Louise Attaque;J't'emmène au vent;64;1997-04-22;day;0.0365;0.0
6Ea6rWYYVeUjRa4VBp4f1S;Georges Brassens;Chanson pour l'auvergnat;50;1954;year;0.262;0.0
0cYX51Hneb8qIOx0tHm7ng;Khaled;Aicha - Version Mixte;57;1996-01-01;day;0.158;6.94e-06
1MzDtBMx5eIkhInTu7lT6f;Daniel Balavoine;Tous les cris les S.O.S.;38;2008-01-01;day;0.0305;0.00052
11rsK9GDZ9UdWsxtDqnMmN;Jeanette;¿Porqué te vas?;64;2011-01-25;day;0.069;8.41e-06
3UgdwnnTdJpQPYXKpyapOg;Daniel Balavoine;La vie ne m'apprend rien;4;1980;year;0.0403;2.8300000000000014e-05
4rrdnPQTy48CWIj8RZOUkl;Daniel Balavoine;Sauver l'amour;6;1985-01-01;day;0.0287;0.0173
3hmNozMny2tvq9BvoiAx8k;Daniel Balavoine;Vivre ou survivre;4;1982;year;0.0387;5.85e-06
2qHhWm8oZ7nNNvTitjEvio;Michel Delpech, Francis Cabrel;Le Loir & Cher;46;2006-01-01;day;0.0319;0.000281
7nZCg1jgmXIjSBRifWkmaJ;Vanessa Paradis;Joe le taxi;58;1987;year;0.0395;3.92e-05
3MPmRgJHfD7CADCibQfNgG;Julie Pietri;Eve lève-toi;47;1980;year;0.0708;0.000903
