artist_id;name;popularity;genres
6mdiAmATAx73kdxrNrnlao;Iron Maiden;77;['album rock', 'hard rock', 'metal', 'nwobhm', 'rock']
1DFr97A9HnbV3SKTJFu62M;Motörhead;70;['album rock', 'alternative metal', 'hard rock', 'metal', 'rock', 'speed metal']
7Iffw1nP3NjCWkRIx3Ily9;Bruce Dickinson;55;['album rock', 'hard rock', 'metal', 'power metal', 'rock']
6biWAmrHyiMkX49LkycGqQ;Thin Lizzy;68;['album rock', 'art rock', 'blues rock', 'classic rock', 'hard rock', 'irish rock', 'metal', 'rock']
3RGLhK1IP9jnYFH4BRFJBS;The Clash;74;['classic rock', 'permanent wave', 'punk', 'rock']
4OAddazJM576euUnFSvXSL;Lacuna Coil;59;['alternative metal', 'gothic metal', 'italian gothic', 'italian gothic metal', 'italian metal', 'slayer', 'symphonic metal']
70I9vE7YTwKmelfEplXc5r;Firewind;47;['greek metal', 'melodic metal', 'metal', 'neo classical metal', 'neo-trad metal', 'power metal', 'progressive metal', 'symphonic power metal']
1yfiDL3YUEJlQCgb5Pun6g;Primal Fear;52;['german metal', 'german power metal', 'hard rock', 'melodic metal', 'metal', 'neo classical metal', 'power metal', 'speed metal']
0L5fC7Ogm2YwgqVCRcF1bT;Volbeat;74;['alternative metal', 'danish metal', 'danish rock']
3TOqt5oJwL9BE2NG9MEwDa;Disturbed;79;['alternative metal', 'nu metal', 'rap metal']
05fG473iIaoy82BF1aGhL8;Slipknot;80;['alternative metal', 'double drumming', 'nu metal', 'rap metal']
6urzdpGY5yUimWZsgJUoTb;Airbourne;61;['glam metal', 'hard rock', 'metal', 'rock', 'wrestling']
2Hkut4rAAyrQxRdof7FVJq;Rush;71;['album rock', 'art rock', 'canadian metal', 'classic canadian rock', 'classic rock', 'hard rock', 'metal', 'progressive rock', 'rock']
6olE6TJLqED3rqDCT0FyPh;Nirvana;84;['alternative rock', 'grunge', 'permanent wave', 'rock']
2ye2Wgw4gimLv2eAKyk1NB;Metallica;85;['hard rock', 'metal', 'old school thrash', 'rock', 'thrash metal']
58lV9VcRSjABbAbfWS6skp;Bon Jovi;82;['glam metal', 'hard rock', 'rock']
6LZE884lDIsCSLHuTplfGp;Gamma Ray;48;['german metal', 'german power metal', 'hard rock', 'melodic metal', 'metal', 'neo classical metal', 'power metal', 'speed metal']
3AGFqPP3gt5rMSvhR87Xxu;Edguy;53;['german metal', 'german power metal', 'hard rock', 'melodic metal', 'metal', 'neo classical metal', 'power metal', 'progressive metal', 'symphonic metal']
2dRO1l7hgP4FwnpebxW1fq;W.E.T.;41;['hard rock', 'melodic hard rock', 'modern hard rock', 'nightrun', 'swedish melodic rock']
2aaLAng2L2aWD2FClzwiep;Dream Theater;65;['neo classical metal', 'progressive metal', 'rock']
0nmQIMXWTXfhgOBdNzhGOs;Avenged Sevenfold;78;['alternative metal', 'nu metal']
4OGo8f0tdKloP3IZwvnLqt;Pretty Maids;47;['album rock', 'danish metal', 'danish rock', 'glam metal', 'hard rock', 'melodic hard rock', 'metal', 'power metal']
